date,deepSleepTime,shallowSleepTime,wakeTime,start,stop,REMTime,naps
2022-07-13,64,161,0,2022-07-12 22:16:00+0000,2022-07-13 02:44:00+0000,43,
2022-07-14,14,139,0,2022-07-14 04:27:00+0000,2022-07-14 07:36:00+0000,36,
2022-07-15,0,0,0,2022-07-13 22:00:00+0000,2022-07-13 22:00:00+0000,0,
2022-07-16,0,0,0,2022-07-14 22:00:00+0000,2022-07-14 22:00:00+0000,0,
2022-07-17,0,41,0,2022-07-17 05:55:00+0000,2022-07-17 06:44:00+0000,8,
2022-07-18,131,389,1,2022-07-17 23:01:00+0000,2022-07-18 08:57:00+0000,75,
2022-07-19,119,260,2,2022-07-18 23:44:00+0000,2022-07-19 08:10:00+0000,125,
2022-07-20,84,258,3,2022-07-19 23:30:00+0000,2022-07-20 07:12:00+0000,117,
2022-07-21,28,126,0,2022-07-21 05:33:00+0000,2022-07-21 08:15:00+0000,8,
2022-07-22,126,377,29,2022-07-21 23:21:00+0000,2022-07-22 09:17:00+0000,64,
2022-07-23,63,435,17,2022-07-22 22:43:00+0000,2022-07-23 09:09:00+0000,111,
2022-07-24,0,0,0,2022-07-22 22:00:00+0000,2022-07-22 22:00:00+0000,0,
2022-07-25,96,263,0,2022-07-24 23:29:00+0000,2022-07-25 07:04:00+0000,96,
2022-07-26,131,315,36,2022-07-25 21:49:00+0000,2022-07-26 07:51:00+0000,120,
2022-07-27,64,186,9,2022-07-26 21:48:00+0000,2022-07-27 03:20:00+0000,73,
2022-07-28,83,201,0,2022-07-27 21:45:00+0000,2022-07-28 03:32:00+0000,63,
2022-07-29,73,223,0,2022-07-28 22:53:00+0000,2022-07-29 04:46:00+0000,57,
2022-07-30,77,219,12,2022-07-29 22:27:00+0000,2022-07-30 04:36:00+0000,61,
2022-07-31,50,191,0,2022-07-30 22:03:00+0000,2022-07-31 02:51:00+0000,47,
